Game,Console,Developer,Publisher,Release_Date,Sales
Ninja Kid,NES,Tose,Bandai,"April 17, 1986",1250000
Dragon Power,NES,Tose,Bandai,"November 27, 1986",1250000
TwinBee,NES,Konami,Konami,"January 7, 1986",1200000
Ganbare Goemon! Karakuri Dōchū,NES,Konami,Konami,"July 30, 1986",1200000
Chip 'n Dale Rescue Rangers,NES,Capcom,Capcom,"June 8, 1990",1200000
Doraemon,NES,Hudson Soft,Hudson Soft,"December 12, 1986",1150000
Commando,NES,Capcom,Capcom,"September 27, 1986",1140000
Donkey Kong,NES,Nintendo R&D1,Nintendo,"July 15, 1983",1130000
Yoshi's Cookie,NES,Tose,Nintendo,"November 21, 1992",1120000
Donkey Kong Jr.,NES,Nintendo R&D1,Nintendo,"July 15, 1983",1110000
Popeye,NES,Nintendo R&D1,Nintendo,"July 15, 1983",1100000
Pro Yakyū Family Stadium '88,NES,Namco,Namco,"December 20, 1988",1080000
Mega Man 3,NES,Capcom,Capcom,"September 28, 1990",1080000
Famicom Jump: Hero Retsuden,NES,Tose,Bandai,"February 15, 1989",1060000
Tag Team Match: MUSCLE,NES,Tose,Bandai,"November 8, 1985",1050000
Adventure Island,NES,Hudson Soft,Hudson Soft,"September 12, 1986",1050000
Ninja JaJaMaru-kun,NES,Jaleco,Jaleco,"November 15, 1985",1000000
1942,NES,CapcomMicronics,Capcom,"December 11, 1985",1000000
Bomberman,NES,Hudson Soft,Hudson Soft,"December 20, 1985",1000000
Hydlide,NES,T&E Soft,JP: Toshiba EMINA: FCI,"March 18, 1986",1000000
Gradius,NES,Konami,Konami,"April 25, 1986",1000000
Tiger Heli,NES,Micronics,JP: Pony CanyonNA/EU: Acclaim Entertainment,"December 5, 1986",1000000
Metal Gear,NES,Konami,JP: KonamiNA: Ultra Games,"December 22, 1987",1000000
NES Open Tournament Golf,NES,Nintendo R&D2,Nintendo,"September 20, 1991",1000000
Super Mario World †,SNES,Nintendo EAD,Nintendo,"November 21, 1990",20610000
Super Mario All-Stars †,SNES,Nintendo EAD,Nintendo,"July 14, 1993",10550000
Donkey Kong Country †,SNES,Rare,Nintendo,"November 21, 1994",9300000
Super Mario Kart †,SNES,Nintendo EAD,Nintendo,"August 27, 1992",8760000
Street Fighter II: The World Warrior †,SNES,Capcom,Capcom,"June 10, 1992",6300000
Donkey Kong Country 2: Diddy's Kong Quest †,SNES,Rare,Nintendo,"November 20, 1995",5150000
The Legend of Zelda: A Link to the Past †,SNES,Nintendo EAD,Nintendo,"November 21, 1991",4610000
Super Mario World 2: Yoshi's Island †,SNES,Nintendo EAD,Nintendo,"August 5, 1995",4120000
Street Fighter II Turbo,SNES,Capcom,Capcom,"July 11, 1993",4100000
Star Fox †,SNES,Nintendo EADArgonaut Software,Nintendo,"February 21, 1993",4000000
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Rare,Nintendo,"November 22, 1996",3510000
Final Fantasy VI,SNES,Square,Square,"April 2, 1994",3420000
Killer Instinct †,SNES,Rare,Nintendo,"August 30, 1995",3200000
Dragon Quest VI,SNES,Heartbeat,Enix,"December 9, 1995",3200000
F-Zero †,SNES,Nintendo EAD,Nintendo,"November 21, 1990",2850000
Dragon Quest V,SNES,Chunsoft,Enix,"September 27, 1992",2800000
Chrono Trigger,SNES,Square,Square,"March 11, 1995",2500000
Final Fantasy V,SNES,Square,Square,"December 6, 1992",2450000
Mario Paint †,SNES,Nintendo R&D1,Nintendo,"July 14, 1992",2310000
Super Mario RPG,SNES,Square,Nintendo,"March 9, 1996",2140000
Pilotwings,SNES,Nintendo EAD,Nintendo,"December 21, 1990",2000000
Super Street Fighter II,SNES,Capcom,Capcom,"June 25, 1994",2000000
SimCity,SNES,Nintendo EAD,Nintendo,"April 26, 1991",1980000
Secret of Mana,SNES,Square,Square,"August 6, 1993",1830000
Final Fantasy IV,SNES,Square,Square,"July 19, 1991",1800000
Disney's Aladdin,SNES,Capcom,Capcom,"November 26, 1993",1750000
Super Puyo Puyo,SNES,Compile,Banpresto,"December 10, 1993",1700000
Super Scope 6,SNES,Nintendo R&D1,Nintendo,February 1992,1650000
Mortal Kombat II,SNES,Sculptured Software,Acclaim Entertainment,"September 9, 1994",1510000
Romancing SaGa 2,SNES,Square,Square,"December 10, 1993",1490000
Final Fight,SNES,Capcom,Capcom,"December 21, 1990",1480000
Dragon Ball Z: Super Butōden,SNES,Tose,Bandai,"March 20, 1993",1450000
Kirby Super Star †,SNES,HAL Laboratory,Nintendo,"March 21, 1996",1440000
Super Metroid,SNES,Nintendo R&D1Intelligent Systems,Nintendo,"March 19, 1994",1420000
Dragon Quest III,SNES,Heartbeat,Enix,"December 6, 1996",1400000
Romancing SaGa,SNES,Square,Square,"January 28, 1992",1320000
Wonder Project J,SNES,Almanic Corporation,Enix,"December 9, 1994",1300000
Romancing SaGa 3,SNES,Square,Square,"November 11, 1995",1300000
The Lion King,SNES,Westwood Studios,Virgin Interactive,"December 8, 1994",1270000
NBA Jam,SNES,Iguana Entertainment,Acclaim Entertainment,"March 4, 1994",1220000
Mortal Kombat 3,SNES,Sculptured Software,Acclaim Entertainment,"October 13, 1995",1220000
The Magical Quest Starring Mickey Mouse,SNES,Capcom,Capcom,"November 20, 1992",1210000
Dragon Quest I & II,SNES,Chunsoft,Enix,"December 18, 1993",1200000
Derby Stallion III,SNES,ASCII Entertainment,Nintendo,"January 20, 1995",1200000
Mega Man X,SNES,Capcom,Capcom,"December 17, 1993",1160000
Dragon Ball Z: Super Butōden 2,SNES,Tose,Bandai,"December 17, 1993",1150000
Derby Stallion '96,SNES,ASCII Entertainment,Nintendo,"March 15, 1996",1100000
Super Ghouls 'n Ghosts,SNES,Capcom,Capcom,"October 4, 1991",1090000
Final Fight 2,SNES,Capcom,Capcom,"May 22, 1993",1030000
Super Tetris 2 + Bombliss,SNES,Bullet-Proof Software,Tose,"December 18, 1992",1000000
Tetris 2,SNES,Bullet-Proof Software,Nintendo,"July 8, 1994",1000000
Space Invaders: The Original Game,SNES,Taito,Taito,"March 25, 1994",1000000
Super Star Wars,SNES,Sculptured SoftwareLucasArts,JVC Musical Industries,"November 1, 1992",1000000
Super Bomberman 2,SNES,Produce!,Hudson Soft,"April 28, 1994",1000000
Super Mario 64 †,N64,Nintendo EAD,Nintendo,"June 23, 1996",11910000
Mario Kart 64 †,N64,Nintendo EAD,Nintendo,"December 14, 1996",9870000
GoldenEye 007 †,N64,Rare,Nintendo,"August 25, 1997",8090000
The Legend of Zelda: Ocarina of Time †,N64,Nintendo EAD,Nintendo,"November 21, 1998",7600000
Super Smash Bros.,N64,HAL Laboratory,Nintendo,"January 21, 1999",5550000
Pokémon Stadium †,N64,Nintendo EAD,Nintendo,"April 30, 1999",5460000
Donkey Kong 64 †,N64,Rare,Nintendo,"November 22, 1999",5270000
Diddy Kong Racing,N64,Rare,Rare,"November 14, 1997",4880000
Star Fox 64,N64,Nintendo EAD,Nintendo,"April 27, 1997",4000000
Banjo-Kazooie †,N64,Rare,Nintendo,"June 29, 1998",3650000
Pokémon Snap †,N64,HAL LaboratoryPax Softonica,Nintendo,"March 21, 1999",3630000
The Legend of Zelda: Majora's Mask,N64,Nintendo EAD,Nintendo,"April 27, 2000",3360000
Star Wars Episode I: Racer †,N64,LucasArts,Nintendo,"April 30, 1999",3100000
Wave Race 64 †,N64,Nintendo EAD,Nintendo,"September 27, 1996",2940000
Yoshi's Story,N64,Nintendo EAD,Nintendo,"December 21, 1997",2850000
